time,rmse,nees,error
1768960500.2308414,1.4207847279188627e-12,4.086694357486665e-24,6.392730434085182e-13
1768960500.2310429,1.4207847279188627e-12,4.086694357486665e-24,6.393039830176024e-13
1768960500.233866,1.4188628856610878e-12,4.0870899274390535e-24,6.393396550386325e-13
1768960500.236687,1.4169515029238866e-12,4.087546028593409e-24,6.39372956832199e-13
1768960500.2395835,1.4150504863307269e-12,4.087971845994021e-24,6.394004668378559e-13
1768960500.2429748,1.4131597384022423e-12,4.0883236199049814e-24,6.394311704208839e-13
1768960500.2458794,1.4112791763919583e-12,4.088716250244964e-24,6.3945904797864e-13
1768960500.2484717,1.4094087094423598e-12,4.089072756859532e-24,6.394916593039165e-13
1768960500.2506077,1.407548259156158e-12,4.0894898227975286e-24,6.39521895052312e-13
1768960500.252903,1.405697737370387e-12,4.089876525320969e-24,6.395463079301564e-13
1768960500.2552745,1.403857051752875e-12,4.090188765988013e-24,6.395738986111156e-13
1768960500.2590978,1.4002048697609512e-12,4.090858065262803e-24,6.395986345047984e-13
1768960500.2610588,1.4002048697609512e-12,4.090858065262803e-24,6.396280999221869e-13
1768960500.2640257,1.3965910736006845e-12,4.0915815286591245e-24,6.396551906733373e-13
1768960500.2668774,1.3947983613529543e-12,4.0915815286591245e-24,6.396764449058722e-13
1768960500.269992,1.3930150039803743e-12,4.0918534241320436e-24,6.397008719970348e-13
1768960500.2722135,1.3912409202000682e-12,4.092441708770252e-24,6.397224288458076e-13
1768960500.2751162,1.389476025461954e-12,4.092644698560204e-24,6.397382954010826e-13
1768960500.277097,1.389476025461954e-12,4.092644698560204e-24,6.397579028668113e-13
1768960500.2801194,1.3859735166324546e-12,4.092895558710949e-24,6.397754632919429e-13
1768960500.2830987,1.38423576000905e-12,4.093418181955093e-24,6.397987495568691e-13
1768960500.2864282,1.382506905535774e-12,4.093418181955093e-24,6.398207386938584e-13
1768960500.2881367,1.3807868743242831e-12,4.093699542554585e-24,6.398379909982295e-13
1768960500.2910316,1.3790756016009185e-12,4.094196376051586e-24,6.39859566107921e-13
1768960500.2939134,1.3773730145046463e-12,4.094450437200335e-24,6.398794199844615e-13
1768960500.2961464,1.3756790520996497e-12,4.094780137646422e-24,6.399051834773142e-13
1768960500.298137,1.3739936437851467e-12,4.094780137646422e-24,6.399297326799062e-13
1768960500.300303,1.3723167146156789e-12,4.095347883040613e-24,6.399495462309047e-13
1768960500.302537,1.3706482035289706e-12,4.0956563492867914e-24,6.399736479108459e-13
1768960500.3051376,1.3689880413503312e-12,4.095941870102321e-24,6.399959560600182e-13
1768960500.3069701,1.3673361706733275e-12,4.095941870102321e-24,6.400241005526514e-13
1768960500.3090537,1.3656925244412749e-12,4.0963021084203224e-24,6.400509359936061e-13
1768960500.3110723,1.3656925244412749e-12,4.096645605390968e-24,6.400729158505784e-13
1768960500.3132844,1.3624296332791048e-12,4.097261849219414e-24,6.400990770193708e-13
1768960500.315274,1.3624296332791048e-12,4.097261849219414e-24,6.401233322511459e-13
1768960500.3175554,1.3591988717551329e-12,4.097956399122607e-24,6.401533306614173e-13
1768960500.319592,1.3591988717551329e-12,4.097956399122607e-24,6.401819313702403e-13
1768960500.3229568,1.3559997522418462e-12,4.098625284423182e-24,6.402055753035973e-13
1768960500.3239088,1.3559997522418462e-12,4.098625284423182e-24,6.402333070241638e-13
1768960500.3260417,1.3544119030999e-12,4.098980355304003e-24,6.402590305707149e-13
1768960500.3283072,1.3512593324711533e-12,4.09930972653197e-24,6.40290411513337e-13
1768960500.3304937,1.3496944992142051e-12,4.100094288956424e-24,6.403202994235453e-13
1768960500.3330352,1.3481372153514913e-12,4.100412119842944e-24,6.403451183722337e-13
1768960500.3353384,1.3465874292401651e-12,4.100781100392748e-24,6.403739301121839e-13
1768960500.3374865,1.3450450812150437e-12,4.10112321218204e-24,6.404006427475445e-13
1768960500.4386544,1.3435101230255195e-12,4.1015368484839726e-24,6.404329383774594e-13
1768960500.4423027,1.341982496907923e-12,4.1015368484839726e-24,6.404636637876498e-13
1768960500.444244,1.341982496907923e-12,4.101930392276516e-24,6.404892339802393e-13
1768960500.4466443,1.3389490054131217e-12,4.1026356101987704e-24,6.405187193211647e-13
1768960500.4485593,1.3389490054131217e-12,4.1026356101987704e-24,6.40546014124554e-13
1768960500.4510708,1.3374430342543738e-12,4.10298525741725e-24,6.405788201032825e-13
1768960500.453286,1.3359441816080184e-12,4.1034055259569674e-24,6.40609989735565e-13
1768960500.4566185,1.3329676072543067e-12,4.104137017090163e-24,6.406359163063271e-13
1768960500.4604251,1.3314897797436884e-12,4.104137017090163e-24,6.406656832467318e-13
1768960500.46354,1.330018855623553e-12,4.104870724207208e-24,6.406931803590056e-13
1768960500.4666607,1.330018855623553e-12,4.104870724207208e-24,6.407261268776181e-13
1768960500.4706142,1.327097535839216e-12,4.105693213424487e-24,6.407573672472371e-13
1768960500.4733617,1.327097535839216e-12,4.105693213424487e-24,6.407832906487013e-13
1768960500.477167,1.3256470307483002e-12,4.106025415473326e-24,6.408129910286274e-13
1768960500.4808397,1.3242032326572487e-12,4.106406037473188e-24,6.408403526640964e-13
1768960500.483607,1.3213355612794849e-12,4.107176551776684e-24,6.408731109174609e-13
1768960500.4857743,1.3199115972014241e-12,4.107573930722267e-24,6.409041144289646e-13
1768960500.4878747,1.3199115972014241e-12,4.107573930722267e-24,6.40929730107681e-13
1768960500.4929879,1.318494142963619e-12,4.1079022642703054e-24,6.409590635440382e-13
1768960500.4974475,1.3170831569530436e-12,4.108278269328784e-24,6.409859941352165e-13
1768960500.501549,1.315678589654214e-12,4.108623487785019e-24,6.410182734540516e-13
1768960500.5056639,1.3142804025605806e-12,4.109037292983914e-24,6.410487418089923e-13
1768960500.5117967,1.3128885478556102e-12,4.109427900702224e-24,6.410737623726107e-13
1768960500.515591,1.3115029732593094e-12,4.109748678084031e-24,6.411024504351091e-13
1768960500.5197284,1.3101236393019358e-12,4.110116492618776e-24,6.411286798937385e-13
1768960500.52592,1.3087504986461617e-12,4.110452797974651e-24,6.411602174398103e-13
1768960500.534285,1.3073835148686537e-12,4.110857183378292e-24,6.411899075185417e-13
1768960500.5386977,1.3060226422961386e-12,4.111237897128888e-24,6.412140914755534e-13
1768960500.545074,1.3046678307763388e-12,4.111548016267873e-24,6.412418955343759e-13
1768960500.5495472,1.303319042853102e-12,4.11190457410872e-24,6.412671887949398e-13
1768960500.5539203,1.3019762332392794e-12,4.11222894554947e-24,6.412977532052795e-13
1768960500.749316,1.299308401875224e-12,4.11298866833056e-24,6.413264247698425e-13
1768960500.7523131,1.2979845750522742e-12,4.125676826256851e-24,6.42314951098697e-13
1768960500.7550337,1.296666536513403e-12,4.125788821197351e-24,6.423236704070848e-13
1768960500.7588046,1.2953542519745019e-12,4.125954254355846e-24,6.423365492933137e-13
1768960500.7636302,1.294047679268967e-12,4.126093535678755e-24,6.423473922748265e-13
1768960500.769608,1.29274678711895e-12,4.1263084510284235e-24,6.423641222736184e-13
1768960500.7731924,1.2914515350310805e-12,4.1265064308119775e-24,6.423795336455389e-13
1768960500.774942,1.2901618778507048e-12,4.1266384786891165e-24,6.423898128903892e-13
1768960500.7841148,1.2888777829888708e-12,4.126823094541817e-24,6.424041834952872e-13
1768960500.7860909,1.2888777829888708e-12,4.126823094541817e-24,6.424164377099507e-13
1768960500.791276,1.2863261292548594e-12,4.12721272801927e-24,6.424345115946677e-13
1768960500.794921,1.2850585019493583e-12,4.127427217032933e-24,6.424512061452037e-13
1768960500.8009145,1.283796284632887e-12,4.127574770456901e-24,6.424626909749004e-13
1768960500.8028636,1.2825394463088747e-12,4.127774016127084e-24,6.424781984995341e-13
1768960500.804721,1.2812879481715353e-12,4.127945156016781e-24,6.424915184001685e-13
1768960500.807997,1.2800417621258848e-12,4.128190316561169e-24,6.425105983295141e-13
1768960500.8122246,1.2800417621258848e-12,4.128190316561169e-24,6.42528231843788e-13
1768960500.8163712,1.2775651728805666e-12,4.128575683586293e-24,6.42540589408857e-13
1768960500.8167067,1.2763346983549764e-12,4.1287854039375294e-24,6.42556910134476e-13
1768960500.824083,1.2751093901436838e-12,4.128966205726952e-24,6.425709802219143e-13
1768960500.826691,1.2738892216156346e-12,4.129220362812403e-24,6.425907578155317e-13
1768960500.8300703,1.2726741571018933e-12,4.129455332574991e-24,6.426090418758004e-13
1768960500.8303936,1.2714641562904009e-12,4.1296216692003306e-24,6.426219853409219e-13
1768960500.832362,1.2702591911176617e-12,4.129838217576912e-24,6.426388352504937e-13
1768960500.8342307,1.2702591911176617e-12,4.129838217576912e-24,6.426533748996177e-13
1768960500.8418078,1.2678642350761617e-12,4.13028467481985e-24,6.426735731937801e-13
1768960500.8421218,1.2666741847191356e-12,4.130524355453954e-24,6.426922213948267e-13
1768960500.846331,1.2654890358650997e-12,4.130694680299766e-24,6.42705473454337e-13
1768960500.8466806,1.2643087618010552e-12,4.130914589347246e-24,6.427225826167572e-13
1768960500.8506527,1.2631333281316066e-12,4.13110412704571e-24,6.427373286669417e-13
1768960500.8532276,1.2631333281316066e-12,4.13110412704571e-24,6.42757690418323e-13
1768960500.857296,1.2607968772924732e-12,4.131607189275083e-24,6.427764644760711e-13
1768960500.859815,1.2596357897693372e-12,4.1317784485311584e-24,6.427897874836168e-13
1768960500.8639023,1.2596357897693372e-12,4.1317784485311584e-24,6.428069201917258e-13
1768960500.8674455,1.2573277436392844e-12,4.13218790789849e-24,6.428216395012506e-13
1768960500.8700893,1.2573277436392844e-12,4.13218790789849e-24,6.428419344355936e-13
1768960500.873498,1.2561807292540007e-12,4.132448815449882e-24,6.42860593820129e-13
1768960500.8776364,1.2550383481722577e-12,4.132688702643852e-24,6.428737555529755e-13
1768960500.882953,1.2527673531589293e-12,4.1330755820183824e-24,6.428906861995523e-13
1768960500.8858683,1.2527673531589293e-12,4.1330755820183824e-24,6.429051591954353e-13
1768960500.8904064,1.251638683177128e-12,4.1332616583215456e-24,6.429251729307262e-13
1768960500.8954608,1.249394871512318e-12,4.133754906306068e-24,6.429435215633011e-13
1768960500.897699,1.249394871512318e-12,4.133754906306068e-24,6.429563259133776e-13
1768960500.9019873,1.2482796645435305e-12,4.1339195405876755e-24,6.429728596826003e-13
1768960501.2866466,1.2460628770172198e-12,4.138062663225812e-24,6.432784672995502e-13
1768960501.2931445,1.2449612399419505e-12,4.138062663225812e-24,6.432945022213585e-13
1768960501.298851,1.2438639482452036e-12,4.1382689472285935e-24,6.433087346510182e-13
1768960501.3045976,1.2427709680312076e-12,4.138561643733842e-24,6.433172542423272e-13
1768960501.3100288,1.2416822772023178e-12,4.138561643733842e-24,6.433293615968924e-13
1768960501.3163521,1.2405978461281087e-12,4.1388389635711655e-24,6.433388103898736e-13
1768960501.3214247,1.2395176553694024e-12,4.139029905254716e-24,6.433536514361913e-13
1768960501.3276193,1.2384416767568802e-12,4.139197322401974e-24,6.433666639016588e-13
1768960501.3333395,1.237369877521471e-12,4.1392907623943755e-24,6.43373926959744e-13
1768960501.339634,1.2363022366060918e-12,4.139430024659344e-24,6.433847509857222e-13
1768960501.346163,1.2352387254667914e-12,4.139534732008359e-24,6.433928894625987e-13
1768960501.3517244,1.2341793256775772e-12,4.139708609744099e-24,6.434064031975164e-13
1768960501.3562515,1.2331240101456372e-12,4.139858827825852e-24,6.434180780561608e-13
1768960501.3624113,1.2320727471980315e-12,4.139934882624588e-24,6.434239895421719e-13
1768960501.3676467,1.2310255167787346e-12,4.140056595740828e-24,6.434334490135594e-13
1768960501.373204,1.2299822913837138e-12,4.140143509836711e-24,6.434402042076167e-13
1768960501.3790288,1.2289430535505619e-12,4.140299436616321e-24,6.434523220536567e-13
1768960501.3843822,1.2279077771934264e-12,4.140431419418216e-24,6.434625791129049e-13
1768960501.3905401,1.226876431658235e-12,4.140488819099735e-24,6.434670406104627e-13
1768960501.396451,1.2258489978252342e-12,4.140488819099735e-24,6.434750273990071e-13
1768960501.4011817,1.22482544917229e-12,4.140659260850322e-24,6.434802870876969e-13
1768960501.4026651,1.2238057691485183e-12,4.140659260850322e-24,6.434908962187247e-13
1768960501.4051995,1.2227899326421133e-12,4.140908270461343e-24,6.434996380678818e-13
1768960501.4075062,1.2217779099934219e-12,4.140946045073537e-24,6.43502574443781e-13
1768960501.4104698,1.2207696829856013e-12,4.140946045073537e-24,6.435090269402304e-13
1768960501.4135652,1.2197652260381085e-12,4.1410290727353744e-24,6.435127375242202e-13
1768960501.4166057,1.2187645097473993e-12,4.1410768121240085e-24,6.435103546803162e-13
1768960501.419543,1.2177675165584398e-12,4.141061915803678e-24,6.435115826660003e-13
1768960501.4226887,1.2167742218672274e-12,4.141046734244904e-24,6.435104043590471e-13
1768960501.4251463,1.2157846111061004e-12,4.1411066384442226e-24,6.435150601227363e-13
1768960501.4282458,1.2147986613315295e-12,4.1411066384442226e-24,6.435184189193887e-13
1768960501.4312463,1.213816345140399e-12,4.141149850655164e-24,6.435165868036353e-13
1768960501.433151,1.2128376464784277e-12,4.1411262542139035e-24,6.435189314927772e-13
1768960501.4358253,1.2118625420232537e-12,4.141160088797376e-24,6.435192182544849e-13
1768960501.4386768,1.2118625420232537e-12,4.141160088797376e-24,6.435255478603379e-13
1768960501.441928,1.209923053161562e-12,4.1413077396325164e-24,6.435306928861403e-13
1768960501.444868,1.2089586203017835e-12,4.1413077778406166e-24,6.435306971388712e-13
1768960501.4478981,1.2079977043966311e-12,4.14136173278411e-24,6.435348905225804e-13
1768960501.449942,1.2070402829135327e-12,4.141388884265044e-24,6.435370013660561e-13
1768960501.4523387,1.2060863430244843e-12,4.1414934034696024e-24,6.435451233016453e-13
1768960501.4554093,1.2051358635120077e-12,4.141582222446953e-24,6.435520253228036e-13
1768960501.4587147,1.2041888186493278e-12,4.141604147525413e-24,6.435537300513954e-13
1768960501.4616218,1.2032451938423773e-12,4.141604147525413e-24,6.435595693878131e-13
1768960501.4649396,1.2023049672699092e-12,4.141726868815435e-24,6.435632672296736e-13
1768960501.4681644,1.2013681267484551e-12,4.141851140924864e-24,6.435729234679632e-13
1768960501.4724443,1.2004346517480502e-12,4.141851140924864e-24,6.435812986616519e-13
1768960501.4755807,1.1995045172581188e-12,4.141958925794253e-24,6.435844183134444e-13
1768960501.4788165,1.1985777093218396e-12,4.1419990642546446e-24,6.435916182943271e-13
1768960501.4822185,1.1985777093218396e-12,4.142091723928113e-24,6.435966198259939e-13
1768960502.2873352,1.1967342301539868e-12,4.144867553797723e-24,6.438072650282225e-13
1768960502.3016994,1.1967342301539868e-12,4.144867553797723e-24,6.438176243277487e-13
1768960502.314378,1.1958175277533402e-12,4.14500092583499e-24,6.438255499358033e-13
1768960502.3207269,1.1939938712773816e-12,4.1451029625819326e-24,6.438391838762198e-13
1768960502.3270197,1.1930868860951851e-12,4.145434278374777e-24,6.438512823025603e-13
1768960502.3337967,1.1921830988870625e-12,4.145518680489523e-24,6.438578380437916e-13
1768960502.3403623,1.1912824964469208e-12,4.145652293114007e-24,6.438682152131051e-13
1768960502.3468413,1.1903850584453369e-12,4.145754190866564e-24,6.438761294052463e-13
1768960502.353452,1.1894907740612448e-12,4.145929261944011e-24,6.438897256714194e-13
