time,rmse,nees,error
1768963278.6371753,1.795365312327247e-12,4.066579288998901e-24,6.377072936753771e-13
1768963278.6414444,1.795365312327247e-12,4.066579288998901e-24,6.375144022763746e-13
1768963278.6457639,1.7941505120332794e-12,4.0641196145656125e-24,6.373283611464705e-13
1768963278.6501143,1.7929385454192602e-12,4.06174799605565e-24,6.371794702369768e-13
1768963278.6544352,1.7905231426868895e-12,4.058254096458945e-24,6.370541828160813e-13
1768963278.658593,1.7905231426868895e-12,4.058254096458945e-24,6.369262211761287e-13
1768963278.6627462,1.7893196957374146e-12,4.056623974123024e-24,6.368184796697194e-13
1768963278.666975,1.7881190808473538e-12,4.0552516963644444e-24,6.367147075097076e-13
1768963278.671054,1.7869212891354907e-12,4.053930194071781e-24,6.3664338323325e-13
1768963278.675658,1.7845341951694824e-12,4.052365075992581e-24,6.365917818170529e-13
1768963278.6792598,1.7845341951694824e-12,4.052365075992581e-24,6.365357695473753e-13
1768963278.6833518,1.7833448793216515e-12,4.0516520152613104e-24,6.364972061852649e-13
1768963278.7361462,1.7809746826708625e-12,4.050697914984614e-24,6.364608144985886e-13
1768963278.7500432,1.7809746826708625e-12,4.050697914984614e-24,6.364020229539834e-13
1768963278.7543368,1.7797937692087058e-12,4.049949623180967e-24,6.363415236274413e-13
1768963278.758739,1.7774402344739266e-12,4.048199241552912e-24,6.362644791661338e-13
1768963278.7627563,1.7774402344739266e-12,4.048199241552912e-24,6.361972528254999e-13
1768963278.7671084,1.7762675883175165e-12,4.047343855821015e-24,6.361284708459109e-13
1768963278.7718523,1.7739304763900491e-12,4.045307193359222e-24,6.360371599321247e-13
1768963278.775995,1.7727659767834897e-12,4.044127121223454e-24,6.359443816294599e-13
1768963278.781196,1.7727659767834897e-12,4.044127121223454e-24,6.358367090668573e-13
1768963278.7854123,1.7704450194656453e-12,4.041523298985818e-24,6.357396193971084e-13
1768963278.7895513,1.769288546884194e-12,4.041523298985818e-24,6.356423170787619e-13
1768963278.7936618,1.769288546884194e-12,4.040286264737226e-24,6.355251878464425e-13
1768963278.7978683,1.7669835312408853e-12,4.0387974128434446e-24,6.354085101441032e-13
1768963278.8020089,1.7658349616123453e-12,4.0356731206303e-24,6.352793272040284e-13
1768963278.806059,1.7646891603108699e-12,4.037782739468523e-24,6.354453657703598e-13
1768963278.8102992,1.7635468830880657e-12,4.058047778816634e-24,6.370380890626471e-13
1768963278.8375971,1.7624059903614014e-12,4.027845999021042e-24,6.346634029204412e-13
1768963278.8410008,1.7612648017891455e-12,3.957913161957676e-24,6.291298597556704e-13
1768963278.8521163,1.7601217590494623e-12,3.8510133571677945e-24,6.205758182381598e-13
1768963278.8865657,1.758975553612925e-12,3.7129639999917235e-24,6.093515241307988e-13
1768963278.8901548,1.757825219058828e-12,3.7129639999917235e-24,5.959808935294249e-13
1768963278.89326,1.7566701417264574e-12,3.375866235394179e-24,5.810327520505315e-13
1768963278.896388,1.7566701417264574e-12,3.375866235394179e-24,5.650439581545926e-13
1768963278.8998373,1.7543444942741103e-12,3.0003357192191306e-24,5.477639761148559e-13
1768963278.9030259,1.7543444942741103e-12,3.0003357192191306e-24,5.326401626213249e-13
1768963278.905918,1.752002512341419e-12,2.7128373931040228e-24,5.208600128450435e-13
1768963278.9085984,1.750829287666064e-12,2.626386340610632e-24,5.124939611386486e-13
1768963278.9115458,1.7496564253933854e-12,2.571696917665247e-24,5.071304135847069e-13
1768963278.9145782,1.7484849612302958e-12,2.54191916579786e-24,5.041862014208552e-13
1768963278.9395595,1.7473156828143688e-12,2.5311845021476104e-24,5.031208516604121e-13
1768963278.9423614,1.7461491682194564e-12,2.5345244739723658e-24,5.034530674150909e-13
1768963278.9455397,1.7449858275764413e-12,2.5479500482175748e-24,5.047851095668941e-13
1768963278.9486547,1.743825941259354e-12,2.5683738634295645e-24,5.068045878995631e-13
1768963278.9516392,1.7426696899530606e-12,2.5934193561360067e-24,5.092700414373655e-13
1768963278.9546607,1.741517178332117e-12,2.5934193561360067e-24,5.119976975650552e-13
1768963278.9573631,1.7403684545264875e-12,2.6212704204274616e-24,5.148518634374388e-13
1768963279.03958,1.7392235245749351e-12,2.6803145584684643e-24,5.1773277644435e-13
1768963279.0451322,1.7380823640167786e-12,2.7097605135022265e-24,5.205693270953544e-13
1768963279.0503767,1.7380823640167786e-12,2.7097605135022265e-24,5.233160372476222e-13
1768963279.0541155,1.7358111526365935e-12,2.7384269552528933e-24,5.25926018869685e-13
1768963279.057101,1.7358111526365935e-12,2.765805900289509e-24,5.283623952902395e-13
1768963279.0606453,1.7335542393386834e-12,2.7914862724725836e-24,5.305979516869714e-13
1768963279.1423674,1.7335542393386834e-12,2.8151539136672744e-24,5.326119273996358e-13
1768963279.145622,1.7324309024381474e-12,2.8365607626527882e-24,5.34397630106713e-13
1768963279.1486547,1.7301939199137793e-12,2.8720460794337464e-24,5.359339081774684e-13
1768963279.1517243,1.7290800298333352e-12,2.885677385531949e-24,5.372046555245018e-13
1768963279.1547427,1.727969033988552e-12,2.8963680320661416e-24,5.38199262867085e-13
1768963279.2448564,1.7268607955400165e-12,2.9039704289539355e-24,5.389055633975792e-13
1768963279.2498858,1.72575346940399e-12,2.866910098858647e-24,5.354562053743153e-13
1768963279.252935,1.724646310347785e-12,2.8118287676529783e-24,5.30287878799473e-13
1768963279.2578115,1.7235392042853054e-12,2.7540504677379524e-24,5.248117612236505e-13
1768963279.2613916,1.7224323726851592e-12,2.7017499740579597e-24,5.198051006039781e-13
